sid,school_year,grade_level,frpl
5905,2005,10,R
5905,2006,11,F
5905,2007,12,R
5906,2001,6,N
5907,2001,5,F
5907,2002,6,F
5907,2003,7,F
5908,2006,10,F
5908,2007,11,F
5910,2001,4,F
5910,2002,5,F
5910,2003,6,F
5910,2007,10,F
5911,2001,4,F
5911,2002,5,F
5911,2003,6,R
5912,2001,4,F
5912,2002,5,F
5912,2003,6,F
5912,2004,7,F
5912,2006,9,F
5912,2007,10,F
5913,2001,4,F
5913,2002,5,F
5913,2003,6,F
5913,2006,9,N
5914,2001,3,F
5914,2002,4,F
5914,2003,5,F
5914,2004,6,N
5914,2005,7,R
5914,2006,8,F
5914,2007,9,F
5915,2001,3,N
5915,2002,4,N
5915,2003,5,N
5915,2004,6,N
5915,2005,7,N
5915,2006,8,N
5915,2007,9,N
5917,2001,3,F
5917,2005,7,F
5917,2006,8,R
5917,2007,9,R
5918,2005,6,R
5918,2006,7,F
5918,2007,8,R
5919,2002,3,F
5919,2003,4,N
5919,2004,5,F
5919,2005,6,R
5919,2006,7,N
5919,2007,8,R
5920,2002,3,N
5920,2003,4,N
5920,2004,5,N
5920,2005,6,N
5920,2006,7,N
5920,2007,8,N
5921,2002,3,N
5921,2003,4,N
5921,2004,5,N
5921,2005,6,N
5921,2006,7,N
5923,2003,3,F
5923,2004,4,N
5923,2005,5,N
5923,2006,6,N
5923,2007,7,N
5924,2003,3,F
5924,2004,4,R
5924,2005,5,F
5924,2006,6,F
5924,2007,7,F
5925,2004,3,F
5925,2005,4,R
5925,2006,5,R
5925,2007,6,F
5926,2005,3,F
5926,2006,4,F
5926,2007,5,F
5927,2004,3,F
5927,2005,4,F
5927,2006,5,N
5929,2005,3,N
5929,2006,4,N
5929,2007,5,N
5930,2005,3,R
5930,2006,4,F
5931,2005,3,N
5931,2006,4,N
5931,2007,5,R
5933,2006,3,N
5933,2007,4,F
5934,2006,3,F
5934,2007,4,F
5935,2007,3,N
5936,2007,3,F
5940,2001,11,N
5940,2002,12,N
5941,2001,12,N
5942,2002,9,F
5942,2003,9,F
5942,2004,10,R
5943,2001,11,N
5943,2002,12,N
5945,2002,10,R
5945,2003,11,F
5946,2001,10,N
5946,2002,11,N
5946,2003,12,N
5947,2001,9,F
5947,2002,10,F
5947,2003,11,F
5947,2004,12,F
5948,2001,9,R
5948,2002,10,F
5949,2001,9,F
5949,2002,10,R
5951,2001,8,N
5951,2002,9,N
5951,2003,10,F
5951,2004,11,F
5951,2005,12,N
5952,2001,8,F
5952,2002,9,F
5952,2003,10,F
5952,2004,11,F
5952,2005,12,F
5953,2001,7,F
5954,2001,7,N
5954,2002,8,N
5954,2003,9,N
5954,2004,10,N
5956,2001,7,F
5956,2002,8,F
5956,2003,9,F
5956,2004,10,F
5956,2005,11,F
5956,2006,12,F
5957,2001,7,F
5957,2002,8,F
5957,2003,9,N
5957,2004,10,R
5957,2005,11,N
5957,2006,12,N
5958,2001,6,R
5958,2002,7,F
5958,2003,8,F
5958,2004,9,F
5958,2005,10,N
5958,2006,11,N
5958,2007,11,N
5960,2001,5,F
5960,2002,6,F
5960,2003,7,F
5960,2004,8,R
5960,2005,9,F
5960,2006,10,F
5961,2001,5,F
5961,2002,6,F
5961,2003,7,F
5961,2004,8,F
5961,2005,9,R
5961,2006,10,R
5961,2007,11,F
5962,2005,9,F
5962,2006,10,F
5962,2007,10,F
5964,2002,6,F
5964,2003,7,F
5964,2004,8,F
5964,2005,9,F
5964,2006,10,F
5965,2001,4,N
5965,2002,5,N
5965,2003,6,N
5966,2001,3,F
5966,2002,4,F
5966,2003,5,F
5966,2004,6,F
5966,2005,7,N
5966,2006,8,N
5966,2007,9,R
5967,2001,4,R
5967,2002,5,F
5967,2003,6,N
5967,2004,7,N
5967,2005,8,F
5967,2006,9,F
5967,2007,10,F
5968,2001,3,F
5968,2002,4,R
5970,2002,3,F
5971,2001,3,F
5971,2002,4,F
5971,2003,5,F
5971,2004,6,F
5971,2005,7,F
5971,2006,8,F
5971,2007,9,F
5972,2002,3,N
5972,2003,4,F
5972,2004,5,F
5972,2005,6,F
5972,2006,7,F
5972,2007,8,F
5973,2002,3,N
5973,2003,4,N
5973,2004,5,N
5973,2005,6,N
5973,2006,7,N
5973,2007,8,F
5974,2002,3,F
5974,2003,4,F
5974,2004,5,N
5974,2005,6,N
5974,2006,7,F
5974,2007,8,R
5975,2005,6,F
5975,2006,7,F
5975,2007,8,F
5976,2003,3,F
5976,2004,4,F
5976,2005,5,R
5976,2006,6,R
5978,2003,3,F
5978,2004,4,F
5978,2005,5,F
5978,2006,6,N
5978,2007,7,F
5979,2004,3,F
5979,2005,4,F
5979,2007,6,N
5980,2004,3,F
5980,2005,4,F
5980,2006,5,F
5980,2007,6,R
5982,2005,3,N
5982,2006,4,N
5982,2007,5,N
5983,2005,3,F
5983,2006,4,F
5983,2007,5,F
5984,2006,3,F
5984,2007,4,F
5985,2006,3,N
5985,2007,4,F
5986,2006,3,N
5986,2007,4,N
5987,2007,3,F
5988,2007,3,F
5992,2001,12,R
5993,2001,11,N
5993,2002,12,N
5994,2001,11,R
5994,2002,12,F
5995,2001,10,F
5996,2001,10,N
5996,2002,10,N
5996,2003,11,F
5998,2001,9,F
5998,2002,10,F
5998,2003,10,R
5999,2001,9,F
5999,2002,10,F
5999,2003,11,R
5999,2004,12,N
6000,2001,9,F
6000,2002,10,F
6000,2003,11,F
6000,2004,12,F
6001,2003,9,F
6001,2004,9,N
6003,2001,8,F
6003,2002,9,N
6003,2003,10,F
6003,2006,10,N
6004,2001,8,N
6004,2002,9,N
6004,2003,10,F
6004,2004,11,F
6004,2005,11,N
6004,2006,12,F
6005,2001,7,R
6005,2002,8,F
6005,2003,9,N
6005,2004,10,N
6005,2005,11,N
6005,2006,11,N
6005,2007,12,N
6006,2001,6,N
6006,2002,7,N
6006,2003,8,N
6006,2004,9,N
6006,2005,10,N
6006,2006,11,N
6006,2007,12,N
6008,2001,6,F
6008,2002,7,F
6008,2003,8,F
6008,2004,9,R
6008,2005,10,F
6008,2006,10,F
6008,2007,11,F
6009,2003,7,F
6009,2004,8,F
6009,2006,10,N
6009,2007,11,F
6010,2001,6,N
6010,2002,7,N
6010,2003,8,N
6010,2004,9,N
6010,2005,10,N
6010,2006,11,N
6010,2007,12,N
6011,2001,5,F
6011,2002,6,R
6011,2003,7,F
6011,2004,8,N
6011,2005,9,N
6011,2006,10,N
6011,2007,11,N
6012,2001,4,R
6012,2002,5,F
6012,2003,6,F
6012,2004,7,F
6012,2005,8,F
6012,2006,9,F
6012,2007,10,F
6014,2004,8,F
6014,2005,9,F
6015,2001,4,F
6015,2002,5,F
6015,2003,6,F
6015,2004,7,R
6015,2005,8,F
6015,2006,9,F
6015,2007,10,N
6016,2001,4,F
6016,2002,5,N
6016,2003,6,F
6018,2001,4,N
6018,2002,5,F
6018,2003,6,N
6018,2004,7,N
6018,2005,8,N
6018,2006,9,N
6018,2007,10,N
6019,2002,5,F
6019,2003,6,R
6020,2001,3,F
6020,2002,4,F
6020,2003,5,F
6020,2004,6,F
6020,2005,7,R
6020,2006,8,R
6020,2007,9,N
6021,2001,3,F
6022,2001,3,F
6022,2002,4,F
6022,2003,5,F
6022,2004,6,F
6022,2005,7,R
6022,2006,8,N
6022,2007,9,R
6023,2001,3,F
6023,2002,3,R
6023,2003,4,F
6023,2004,5,F
6023,2005,6,F
6023,2006,7,F
6023,2007,8,F
6024,2002,3,F
6024,2003,4,F
6024,2004,5,F
6026,2002,3,F
6026,2003,4,F
6026,2004,5,R
6026,2005,6,F
6026,2006,7,F
6026,2007,8,F
6027,2002,3,F
6027,2003,4,R
6027,2004,5,N
6027,2005,6,F
6027,2006,7,R
6027,2007,8,F
6028,2003,3,F
6028,2004,3,F
6028,2005,4,F
6028,2006,5,R
6028,2007,6,F
6030,2007,6,F
6031,2005,3,R
6031,2006,4,F
6031,2007,5,F
6032,2004,3,F
6032,2005,4,F
6032,2006,5,N
6033,2005,3,F
6033,2006,4,R
6033,2007,5,F
6034,2005,3,F
6034,2007,5,F
6035,2006,4,N
6035,2007,5,F
6036,2006,3,N
6036,2007,4,N
6038,2007,3,F
6039,2007,3,R
6040,2007,3,F
6043,2001,12,N
6044,2001,11,F
6044,2002,12,F
6045,2001,10,F
6045,2002,11,R
6045,2003,12,F
6046,2001,11,F
6046,2002,12,R
6047,2001,10,F
6047,2002,11,F
6047,2003,12,F
6048,2001,10,N
6048,2002,10,N
6048,2003,12,N
6049,2001,9,F
6049,2002,10,F
6049,2003,11,F
6051,2001,9,R
6051,2002,10,N
6051,2003,11,R
6051,2004,12,F
6052,2002,10,F
6053,2001,8,R
6053,2002,9,R
6053,2003,10,F
6053,2004,11,F
6053,2005,12,F
6054,2001,8,R
6054,2002,9,F
6054,2003,10,F
6054,2004,11,F
6054,2005,11,R
6056,2002,9,N
6056,2004,10,N
6056,2005,11,N
6056,2006,12,N
6057,2001,7,N
6057,2002,8,N
6057,2003,9,N
6057,2004,10,N
6057,2005,11,N
6057,2006,12,N
6058,2001,7,F
6058,2002,8,R
6058,2003,9,N
6058,2004,10,R
6058,2005,11,F
6058,2006,12,F
6059,2001,7,R
6059,2002,8,R
6059,2003,9,F
6059,2004,10,F
6059,2005,11,N
6059,2006,12,N
6061,2001,5,F
6061,2002,6,R
6062,2001,6,F
6062,2002,7,R
6062,2003,8,R
6062,2004,9,N
6062,2005,10,N
6063,2004,9,F
6063,2005,10,F
6063,2006,11,R
6063,2007,12,R
6064,2001,5,F
6064,2002,6,F
6064,2003,7,F
6064,2004,8,F
6064,2005,9,F
6064,2006,10,F
6064,2007,11,F
6066,2001,5,F
6066,2002,6,F
6066,2003,7,R
6066,2004,8,F
6066,2005,9,F
6067,2001,4,R
6067,2002,5,F
6067,2003,6,R
6067,2004,7,R
6067,2005,8,F
6067,2006,9,F
6067,2007,10,F
6068,2001,4,F
6068,2002,5,F
6068,2003,6,F
6068,2004,7,F
6068,2005,8,F
6068,2006,9,F
6068,2007,10,F
6069,2001,4,F
6069,2002,5,F
6069,2003,6,R
6069,2004,7,F
6069,2006,9,N
6069,2007,10,R
6071,2001,3,F
6072,2001,3,F
6072,2002,4,F
6072,2003,5,F
6072,2004,6,F
6072,2005,7,F
6072,2006,8,F
6072,2007,9,N
6073,2001,3,F
6073,2002,4,F
6073,2003,5,F
6073,2004,6,F
6073,2005,7,N
6073,2006,8,N
6073,2007,9,N
6075,2002,3,F
6075,2003,4,F
6075,2004,5,R
6075,2005,6,F
6075,2006,7,N
6075,2007,8,F
6076,2002,3,F
6076,2003,4,N
6076,2004,5,F
6076,2005,6,F
6076,2006,7,F
6076,2007,8,R
6077,2002,3,F
6078,2003,3,R
6078,2004,4,F
6078,2005,5,N
6078,2006,6,N
6079,2007,7,F
6080,2005,3,F
6080,2006,4,N
6080,2007,5,R
6082,2005,4,F
6082,2006,5,R
6082,2007,6,F
6083,2005,3,F
6083,2006,4,F
6083,2007,5,F
6084,2005,3,R
6084,2006,4,R
6084,2007,5,F
6086,2006,3,N
6086,2007,4,F
6087,2006,3,F
6087,2007,4,F
6088,2007,3,F
6090,2007,3,N
6092,2001,11,F
6092,2002,12,R
6093,2001,12,F
6094,2001,10,N
6095,2001,11,N
6096,2001,11,F
6098,2001,9,R
6098,2002,9,F
6098,2003,10,F
6099,2002,10,F
6099,2003,11,F
6100,2001,9,F
6100,2002,10,F
6100,2003,11,F
6100,2004,12,F
6102,2001,9,F
6103,2001,7,F
6103,2002,8,R
6103,2006,12,F
6104,2001,8,F
6104,2002,9,F
6104,2003,10,F
6104,2004,11,F
6104,2005,12,F
6105,2001,7,R
6105,2002,8,R
6105,2003,9,N
6105,2004,10,N
6105,2005,11,N
6105,2006,12,N
6107,2003,9,F
6107,2005,10,F
6108,2001,7,F
6108,2002,8,F
6108,2003,9,F
6108,2004,10,R
6108,2005,11,R
6108,2006,12,R
6109,2001,7,F
6111,2001,6,R
6111,2002,7,F
6111,2003,8,F
6111,2004,9,N
6111,2005,10,F
6111,2006,11,R
6111,2007,12,F
6112,2001,6,N
6112,2002,7,N
6112,2003,8,N
6112,2004,9,N
6112,2005,10,N
6112,2006,11,N
6113,2001,6,F
6113,2002,7,F
6113,2003,8,F
6113,2006,11,F
6113,2007,10,F
6114,2001,5,R
6114,2002,6,F
6114,2003,7,F
6114,2004,8,F
6114,2005,9,F
6114,2006,10,F
6114,2007,11,F
6115,2001,5,F
6115,2002,6,F
6115,2003,7,R
6115,2004,8,F
6115,2005,9,N
6117,2001,5,F
6117,2002,6,N
6118,2001,4,F
6118,2002,5,R
6118,2003,6,F
6118,2004,7,F
6118,2005,8,F
6118,2006,9,F
6118,2007,10,F
6119,2001,3,F
6121,2003,6,F
6122,2001,3,F
6122,2002,4,F
6122,2003,5,F
6122,2004,6,F
6122,2005,7,F
6122,2006,8,F
6122,2007,9,F
6123,2001,3,F
6123,2002,4,F
6123,2003,5,F
6123,2004,6,F
6123,2005,7,F
6123,2006,8,R
6123,2007,9,F
6124,2002,4,F
6124,2003,5,R
6125,2002,3,N
6125,2003,4,N
6125,2004,5,N
6125,2005,6,N
6125,2006,7,N
6125,2007,8,N
6126,2002,3,R
6126,2003,4,R
6126,2004,5,F
6126,2005,6,F
6126,2006,7,F
6126,2007,8,F
6128,2003,3,F
6128,2004,4,F
6128,2005,5,F
6129,2003,3,F
6129,2004,4,R
6129,2005,5,F
6129,2006,6,R
6129,2007,7,F
6130,2003,3,R
6130,2004,4,F
6130,2005,5,F
6130,2006,6,F
6130,2007,7,F
6131,2004,3,N
6131,2005,4,N
6131,2006,5,N
6131,2007,6,N
6132,2004,3,F
6132,2005,4,F
6132,2006,5,F
6132,2007,6,F
6134,2005,3,R
6134,2006,4,N
6134,2007,5,F
6135,2005,3,F
6135,2006,4,F
6135,2007,5,F
6136,2005,3,F
6136,2006,4,N
6136,2007,5,N
6138,2006,3,N
6138,2007,4,F
6139,2007,4,R
6140,2007,3,N
6143,2001,12,N
6144,2001,12,F
6145,2001,11,N
6146,2001,10,F
6146,2002,11,F
6147,2001,10,F
6149,2001,10,N
6149,2002,10,R
6149,2003,11,F
6150,2001,9,F
6150,2002,10,F
6150,2003,11,N
6150,2004,12,F
6151,2002,10,N
6151,2003,11,N
6151,2004,12,N
6152,2001,9,R
6152,2004,10,R
6153,2001,8,R
6153,2002,9,F
6153,2003,10,R
6153,2004,11,F
6153,2005,12,F
6154,2001,8,N
6154,2002,9,N
6155,2001,8,F
6155,2002,9,F
6155,2003,10,R
6155,2004,11,R
6155,2005,12,R
6157,2001,7,F
6157,2002,8,R
6157,2003,9,F
6157,2004,10,N
6157,2005,10,F
6157,2006,11,F
6158,2002,8,F
6158,2003,9,F
6158,2004,10,R
6158,2005,11,N
6159,2001,6,F
6159,2002,7,R
6161,2001,6,F
6161,2002,7,F
6161,2003,8,N
6161,2004,9,F
6162,2001,5,R
6162,2002,6,F
6162,2003,7,F
6162,2004,8,F
6162,2005,9,F
6162,2006,10,F
6162,2007,11,F
6163,2001,6,F
6163,2002,7,F
6163,2004,9,R
6163,2005,10,F
6163,2006,11,F
6163,2007,12,F
6164,2006,10,N
6166,2003,7,R
6166,2004,8,R
6167,2001,5,N
6167,2002,6,N
6167,2003,7,N
6167,2004,8,N
6167,2005,9,N
6167,2006,10,N
6167,2007,11,N
6168,2003,7,F
6168,2004,8,N
6168,2005,9,N
6168,2006,10,R
6168,2007,11,R
6170,2004,7,F
6170,2005,8,N
6170,2006,9,N
6170,2007,10,F
6171,2001,4,F
6171,2002,5,F
6171,2003,6,R
6171,2004,7,R
6171,2005,8,F
6171,2006,9,F
6171,2007,10,F
6172,2001,4,N
6172,2002,5,N
6172,2003,6,N
6172,2004,7,N
6172,2005,8,N
6172,2006,9,N
6173,2001,3,F
6173,2002,4,F
6173,2003,5,F
6173,2004,6,F
6173,2005,7,F
6173,2006,8,N
6173,2007,9,F
6175,2002,3,F
6175,2003,4,F
6175,2004,5,F
6175,2005,6,F
6175,2006,7,F
6175,2007,8,F
6176,2002,3,F
6176,2003,4,N
6176,2004,5,F
6176,2005,6,F
6176,2006,7,F
6176,2007,8,R
6177,2003,3,F
6177,2004,4,F
6177,2005,5,R
6177,2006,6,R
6177,2007,7,F
6178,2002,3,R
6178,2003,4,R
6178,2004,5,N
6180,2003,3,N
6180,2004,4,N
6180,2005,5,N
6180,2006,6,N
6180,2007,7,N
6181,2003,3,F
6181,2004,4,R
6181,2005,5,F
6181,2006,6,F
6181,2007,7,F
6182,2004,3,F
6182,2005,4,R
6182,2006,5,F
6182,2007,6,F
6184,2004,3,F
6184,2005,4,F
6184,2006,5,F
6184,2007,6,F
6185,2005,3,N
6185,2006,4,N
6185,2007,5,F
6186,2005,3,F
6186,2006,4,N
6186,2007,5,F
6187,2005,3,F
6187,2006,4,F
6187,2007,5,F
6189,2006,3,F
6189,2007,4,F
6190,2007,3,F
6191,2007,3,F
6195,2001,10,F
6195,2002,11,R
6196,2001,11,R
6196,2002,12,F
6197,2001,11,N
6197,2002,12,F
6198,2001,10,F
6198,2002,10,R
6198,2003,12,F
6199,2001,10,F
6199,2002,11,F
6199,2003,12,F
6201,2001,9,F
6201,2002,10,F
6201,2003,11,N
6201,2004,12,N
6202,2001,9,F
6202,2002,10,F
6202,2003,11,F
6202,2004,12,F
6203,2001,9,F
6203,2002,10,F
6203,2003,11,F
6203,2004,12,R
6204,2001,10,F
6204,2002,11,N
6204,2003,11,N
6205,2001,8,F
6205,2002,9,N
6205,2003,10,N
6205,2004,11,N
6205,2005,12,N
6207,2001,8,F
6207,2002,9,F
6207,2003,10,F
6207,2004,11,F
6207,2005,12,F
6208,2001,6,R
6208,2002,7,N
6208,2003,8,F
6209,2001,7,F
6209,2002,8,F
6209,2003,9,N
6210,2001,7,F
6210,2002,8,R
6210,2003,9,F
6210,2004,10,F
6210,2005,10,F
6210,2006,10,R
6210,2007,10,F
6212,2001,6,F
6212,2002,7,F
6212,2005,10,F
6212,2006,11,F
6212,2007,12,F
6213,2001,6,F
6213,2002,7,F
6213,2003,8,F
6213,2004,9,F
6213,2005,9,N
6213,2006,9,F
6213,2007,10,N
6214,2001,6,F
6214,2002,7,F
6214,2003,8,R
6214,2004,9,N
6216,2001,5,F
6216,2004,8,F
6217,2001,5,F
6217,2002,6,F
6217,2003,7,F
6217,2004,8,F
6217,2005,9,N
6217,2006,10,F
6217,2007,11,F
6218,2004,7,F
6218,2005,8,N
6218,2006,9,F
6218,2007,10,N
6219,2002,6,F
6219,2003,7,F
6219,2004,8,F
6219,2005,9,F
6220,2001,4,F
6220,2002,5,R
6220,2003,6,F
6220,2007,10,R
6222,2001,4,F
6223,2002,3,F
6223,2003,4,F
6223,2004,5,N
6223,2005,6,R
6223,2006,7,F
6223,2007,8,F
6224,2002,4,R
6225,2001,3,N
6225,2002,4,N
6225,2003,5,N
6225,2004,6,N
6225,2005,7,N
6225,2006,8,N
6225,2007,9,N
6226,2002,3,F
6226,2003,4,R
6226,2004,5,F
6226,2005,6,F
6226,2006,7,R
6226,2007,8,F
6227,2002,3,R
6227,2003,3,F
6227,2004,4,R
6227,2005,5,F
6229,2003,3,F
6229,2004,4,F
6229,2005,5,F
6229,2006,6,N
6229,2007,7,R
6230,2003,3,F
6230,2004,4,F
6230,2005,5,N
6230,2006,6,F
6230,2007,7,N
6231,2003,3,F
6231,2004,4,F
6231,2005,5,F
6231,2007,7,R
6233,2004,3,F
6233,2005,4,F
6233,2006,5,R
6233,2007,6,F
6234,2004,3,F
6234,2005,4,F
6234,2006,5,N
6234,2007,6,F
6235,2004,3,F
6235,2005,4,F
6235,2006,5,F
6235,2007,6,F
6237,2005,3,F
6237,2006,4,R
6237,2007,5,F
6238,2005,3,N
6238,2006,4,R
6238,2007,5,F
6239,2006,3,F
6239,2007,4,F
6241,2007,3,R
6242,2007,3,R
6243,2007,3,F
6247,2001,12,F
6248,2001,11,F
6248,2002,12,F
6249,2001,11,R
6249,2002,12,R
6250,2001,10,F
6250,2002,10,R
6250,2003,12,F
6252,2001,10,F
6252,2002,11,F
6252,2003,12,F
6253,2001,9,F
6254,2003,11,F
6254,2004,12,N
6255,2001,9,N
6256,2003,10,F
6256,2004,11,N
6256,2005,12,N
6257,2001,8,F
6257,2002,9,N
6257,2003,10,F
6257,2004,11,N
6257,2005,12,N
6259,2001,8,F
6259,2002,9,F
6259,2003,10,F
6259,2004,10,R
6259,2005,11,F
6260,2001,6,R
6260,2002,7,F
6260,2003,8,F
6260,2004,9,F
6260,2005,10,F
6260,2006,11,F
6260,2007,12,F
6261,2002,8,N
6263,2001,6,F
6263,2002,7,F
6263,2003,8,F
6264,2001,6,N
6264,2002,7,N
6264,2003,8,N
6264,2004,9,N
6264,2007,12,N
6265,2001,6,F
6265,2002,7,F
6265,2003,8,F
6265,2004,9,N
6265,2005,10,N
6265,2006,11,N
6265,2007,12,N
6266,2001,5,F
6266,2002,6,F
6266,2003,7,F
6266,2004,8,F
6266,2005,9,F
6266,2006,10,F
6266,2007,11,N
6267,2005,10,N
6269,2003,7,F
6269,2004,8,F
6270,2001,5,F
6270,2002,6,F
6270,2003,7,F
6270,2004,8,F
6270,2005,9,F
6270,2006,10,N
6270,2007,11,F
6271,2003,6,F
6271,2004,7,F
6271,2005,8,F
6271,2006,9,R
6271,2007,10,F
6273,2001,4,F
6273,2002,5,F
6273,2003,6,N
6273,2004,7,R
6273,2005,8,N
6273,2006,9,F
6273,2007,10,N
6274,2001,3,F
6274,2002,4,F
6274,2003,5,R
6274,2004,6,F
6274,2005,7,R
6274,2006,8,R
6274,2007,9,R
6275,2001,4,F
6275,2002,4,F
6275,2005,7,F
6275,2006,8,F
6275,2007,9,R
6276,2001,3,F
6276,2002,4,F
6276,2003,5,R
6276,2004,6,F
6276,2005,7,R
6276,2006,8,F
6276,2007,9,R
6277,2001,3,F
6277,2002,4,F
6277,2003,5,F
6277,2004,6,F
6277,2005,7,F
6277,2006,8,F
6277,2007,9,F
6279,2002,3,F
6279,2003,4,F
6279,2004,5,R
6279,2005,6,F
6279,2006,7,F
6279,2007,8,F
6280,2002,3,F
6280,2003,4,F
6281,2007,7,F
6282,2003,3,N
6282,2004,4,N
6282,2005,5,N
6282,2006,6,N
6282,2007,7,F
6284,2004,4,R
6284,2005,5,R
6284,2006,6,F
6285,2004,3,F
6285,2005,4,N
6285,2006,5,N
6286,2004,3,F
6286,2005,4,F
6286,2006,5,F
6286,2007,6,F
6287,2004,3,N
6287,2005,4,N
6287,2006,5,N
6287,2007,6,N
6288,2005,3,F
6288,2006,4,R
6288,2007,5,N
6289,2005,3,F
6289,2006,4,R
6289,2007,5,F
6290,2005,3,N
6290,2006,4,F
6290,2007,5,R
6292,2006,3,F
6292,2007,4,F
6293,2006,3,N
6293,2007,4,N
6294,2007,3,F
6295,2007,3,F
6298,2001,12,R
6299,2001,12,F
6299,2002,12,F
6300,2001,10,F
6300,2002,11,R
6301,2001,11,N
6301,2002,12,F
6303,2001,10,F
6304,2001,11,F
6304,2002,12,R
6305,2001,9,F
6305,2002,10,F
6305,2003,10,F
6305,2004,12,R
6306,2001,9,F
6306,2002,10,F
6306,2003,11,R
6306,2004,11,F
6307,2001,9,R
6307,2004,11,F
6307,2005,12,F
6309,2001,9,F
6309,2002,9,F
6309,2003,9,F
6310,2001,8,F
6310,2002,9,N
6311,2001,8,F
6311,2002,9,F
6311,2003,10,F
6311,2004,11,N
6311,2005,12,F
6312,2001,8,F
6312,2002,9,F
6312,2003,10,F
6312,2004,11,F
6312,2005,12,F
6313,2001,8,F
6313,2002,9,F
6313,2003,10,F
6313,2004,11,F
6313,2006,12,F
6314,2001,7,F
6314,2002,8,F
6314,2003,9,F
6314,2004,10,F
6314,2005,11,R
6314,2006,12,F
6315,2001,7,F
6315,2003,9,F
6315,2005,11,F
6317,2001,6,R
6317,2002,7,R
6317,2003,8,F
6317,2004,9,F
6317,2005,10,N
6317,2006,10,F
6317,2007,10,R
6318,2001,6,F
6318,2002,7,F
6318,2003,8,F
6318,2004,9,F
6318,2005,10,R
6318,2006,10,R
6318,2007,12,R
6319,2001,6,F
6319,2002,7,F
6319,2003,8,N
6319,2004,9,R
6320,2001,6,F
6320,2002,7,F
6320,2003,8,F
6320,2004,9,F
6320,2005,10,R
6320,2006,10,F
6322,2001,5,N
6323,2001,4,F
6323,2002,5,F
6323,2003,6,F
6323,2004,7,F
6323,2005,8,F
6323,2006,9,R
6323,2007,10,F
6324,2006,10,F
6324,2007,10,F
6326,2001,3,F
6326,2002,4,F
6326,2003,5,F
6326,2004,6,F
6326,2006,8,N
6327,2001,4,F
6327,2002,4,F
6327,2007,9,F
6328,2001,3,F
6328,2003,5,F
6328,2004,6,F
6328,2005,7,F
6328,2006,8,F
6328,2007,9,R
6329,2001,3,N
6329,2002,4,N
6329,2003,5,N
6329,2004,6,N
6330,2001,3,R
6330,2002,4,F
6330,2003,5,F
6330,2004,6,F
6332,2002,3,N
6332,2003,4,N
6332,2004,5,N
6332,2005,6,N
6332,2006,7,N
6332,2007,8,N
6333,2002,3,R
6333,2003,4,F
6333,2004,5,F
6333,2005,6,F
6334,2002,3,F
6334,2003,4,R
6334,2004,5,F
6334,2005,6,F
6335,2004,4,F
6335,2005,5,F
6335,2006,6,F
6335,2007,7,F
6336,2003,3,R
6337,2007,7,F
6338,2004,3,N
6338,2005,4,N
6338,2006,5,N
6338,2007,6,N
6339,2004,3,F
6339,2005,4,F
6339,2007,6,R
6341,2005,3,R
6341,2006,4,F
6341,2007,5,F
6342,2005,3,N
6342,2006,4,N
6342,2007,5,N
6343,2005,3,F
6343,2006,4,R
6343,2007,5,F
6345,2006,3,N
6345,2007,4,R
6346,2006,3,N
6346,2007,4,F
6347,2006,3,F
6347,2007,4,F
6348,2007,3,N
6350,2007,3,F
6352,2001,11,N
6352,2002,12,N
6353,2001,11,F
6353,2002,12,N
6354,2001,11,F
6354,2002,12,F
6355,2001,11,N
6355,2002,12,N
6357,2001,10,R
6357,2002,11,N
6357,2003,12,R
6358,2001,9,F
6358,2002,10,F
6358,2003,11,R
6358,2004,12,F
6359,2001,10,R
6360,2001,9,R
6360,2002,9,F
6360,2003,9,F
6362,2001,9,F
6362,2002,10,F
6362,2003,10,R
6363,2001,8,F
6363,2002,9,F
6363,2003,10,R
6363,2004,11,N
6363,2005,12,N
6364,2001,8,N
6364,2002,9,N
6364,2003,10,N
6364,2004,11,N
6364,2005,12,N
6365,2001,8,N
6365,2002,9,N
6365,2003,10,F
6365,2004,11,F
6365,2005,12,F
6367,2001,7,F
6367,2002,8,F
6367,2003,9,F
6368,2001,7,F
6368,2002,8,F
6368,2003,9,F
6368,2004,10,F
6368,2005,11,F
6368,2006,12,N
6369,2001,7,R
6369,2002,8,F
6369,2003,9,F
6369,2004,10,F
6369,2005,11,F
6369,2006,12,F
6370,2001,5,F
6370,2002,6,F
6370,2003,7,F
6370,2004,8,F
6370,2005,9,F
6370,2007,11,F
6371,2004,9,N
6371,2005,10,N
6371,2006,11,N
6371,2007,12,N
6372,2001,6,F
6372,2002,7,N
6372,2003,8,N
6372,2004,9,N
6372,2005,10,N
6372,2006,10,N
6372,2007,12,N
6374,2001,5,F
6374,2002,6,F
6374,2003,7,F
6374,2004,8,N
6374,2005,9,F
6374,2006,10,F
6374,2007,11,F
6375,2001,5,R
6375,2002,6,F
6375,2003,7,F
6375,2004,8,F
6375,2005,9,F
6375,2006,10,F
6375,2007,11,F
6376,2003,7,F
6376,2004,8,F
6376,2005,9,N
6376,2006,10,F
6376,2007,11,F
6378,2001,4,N
6378,2002,5,N
6378,2003,6,N
6378,2004,7,N
6378,2005,8,N
6378,2006,9,N
6378,2007,10,N
6379,2003,6,F
6380,2006,9,F
6380,2007,10,F
6381,2003,6,N
